No,Nama,LLDikti
111,Akademi Kebidanan Al-Fathonah Jakarta,3.0
112,Akademi Kebidanan Alifa Pringsewu Lampung,
113,Akademi Kebidanan Alifah Padang,
114,Akademi Kebidanan Al-Ikhlas Cisarua,
115,Akademi Kebidanan Al-Ishlah Cilegon,4.0
116,Akademi Kebidanan Al-Sua'Ibah Palembang,
117,Akademi Kebidanan Amanah Muara Bungo,
118,Akademi Kebidanan Annisa Jaya,
119,Akademi Kebidanan An-Nur Husada Walisongo,
120,Akademi Kebidanan An-Nur Purwodadi,6.0
121,Akademi Kebidanan Anugerah Bintan,10.0
122,Akademi Kebidanan Ar-Rahma,7.0
123,Akademi Kebidanan Ar-Rahmah Bandung,
124,Akademi Kebidanan Ar-Rum Salatiga,6.0
125,Akademi Kebidanan Arta Kabanjahe,
126,Akademi Kebidanan As Syifa,
127,Akademi Kebidanan Assyifa Tangerang,
128,Akademi Kebidanan Audi Husada Medan,1.0
129,Akademi Kebidanan Bakti Indonesia Balikpapan,
130,Akademi Kebidanan Bakti Indonesia Bogor,
131,Akademi Kebidanan Bali Wisnu Dharma Denpasar,
132,Akademi Kebidanan Bandung,4.0
133,Akademi Kebidanan Banjarbaru,
134,Akademi Kebidanan Banua Bina Husada,
135,Akademi Kebidanan Baruna Husada Sibuhuan,1.0
136,Akademi Kebidanan Batari Toja,
137,Akademi Kebidanan Berlian Nusantara,
138,Akademi Kebidanan Betang Asi Raya,
139,Akademi Kebidanan Bhakti Asih,
140,Akademi Kebidanan Bhakti Bangsa,
141,Akademi Kebidanan Bhakti Husada Cikarang,4.0
142,Akademi Kebidanan Bhakti Nugraha,
143,Akademi Kebidanan Bhakti Nusantara Salatiga,
144,Akademi Kebidanan Bhakti Pertiwi Pemalang,
145,Akademi Kebidanan Bhakti Purna Husada,4.0
146,Akademi Kebidanan Bhakti Putra Bangsa Purworejo,6.0
147,Akademi Kebidanan Bina Daya Husada,
148,Akademi Kebidanan Bina Husada,
149,Akademi Kebidanan Bina Husada Tangerang,
150,Akademi Kebidanan Bina Sehat Nusantara,
151,Akademi Kebidanan Borneo Medistra,
