No,Nama,LLDikti
1030,Institut Teknologi Budi Utomo,3.0
1031,Institut Teknologi Calvin,3.0
1032,Institut Teknologi Dan Bisnis Ahmad Dahlan,3.0
1033,Institut Teknologi Dan Bisnis Ahmad Dahlan Lamongan,7.0
1034,Institut Teknologi Dan Bisnis Asia Malang,7.0
1035,Institut Teknologi Dan Bisnis Bank Rakyat Indonesia,3.0
1036,Institut Teknologi Dan Bisnis Bina Sarana Global,4.0
1037,Institut Teknologi Dan Bisnis Indonesia,1.0
1038,Institut Teknologi Dan Bisnis Kalbis,3.0
1039,Institut Teknologi Dan Bisnis Lembah Dempo,2.0
1040,Institut Teknologi Dan Bisnis Nobel Indonesia,9.0
1041,Institut Teknologi Dan Bisnis Semarang,6.0
1042,Institut Teknologi Dan Bisnis STIKOM Ambon,12.0
1043,Institut Teknologi Dan Bisnis STIKOM Bali,8.0
1044,Institut Teknologi Dan Bisnis Swadharma,3.0
1045,Institut Teknologi Dan Kesehatan Avicenna,
1046,Institut Teknologi Dan Kesehatan Bali,8.0
1047,Institut Teknologi Dan Kesehatan Jakarta,3.0
1048,Institut Teknologi Dan Kesehatan Sumatera Utara,
1049,Institut Teknologi Dan Pendidikan Markandeya Bali,8.0
1050,Institut Teknologi Dan Sains Nahdlatul Ulama Pasuruan,7.0
1051,Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan,6.0
1052,Institut Teknologi Del,1.0
1053,Institut Teknologi Dirgantara Adisutjipto,5.0
1054,Institut Teknologi Garut,4.0
1055,Institut Teknologi Harapan Bangsa,4.0
1056,Institut Teknologi Indonesia,3.0
1057,Institut Teknologi Kalimantan,
1058,Institut Teknologi Kesehatan Dan Sains Muhammadiyah Sidrap,9.0
1059,Institut Teknologi Kesehatan Dan Sains Wiyata Husada Samarinda,11.0
1060,Institut Teknologi Kreatif Bina Nusantara Malang,7.0
1061,Institut Teknologi Minaesa,16.0
1062,Institut Teknologi Nasional Bandung,4.0
1063,Institut Teknologi Nasional Malang,7.0
1064,Institut Teknologi Nasional Yogyakarta,5.0
1065,Institut Teknologi Padang,10.0
1066,Institut Teknologi Perusahaan Listrik Negara,3.0
1067,Institut Teknologi Sains Bandung,4.0
1068,Institut Teknologi Sains Dan Kesehatan Pku Muhammadiyah Surakarta,6.0
1069,Institut Teknologi Sepuluh Nopember,
1070,Institut Teknologi Sumatera,
1071,Institut Teknologi Telkom Jakarta,3.0
1072,Institut Teknologi Telkom Purwokerto,6.0
1073,Institut Teknologi Yogyakarta,5.0
1074,Institut Transportasi Dan Logistik Trisakti,3.0
1075,Institut Ummul Quro Al-Islami Bogor Jawa Barat,
1076,Politekknik Kesehatan Kementerian Kesehatan Riau,
1077,Politeknik 17 Agustus 1945 Surabaya,7.0
1078,Politeknik Aceh,13.0
1079,Politeknik Aceh Selatan,13.0
1080,Politeknik Adiguna Maritim Indonesia Medan,1.0
1081,Politeknik Ahli Usaha Perikanan,
1082,Politeknik Aisyiyah Pontianak,11.0
1083,Politeknik Aisyiyah Sumatera Barat,
1084,Politeknik Aka Bogor,
1085,Politeknik Akamigas Palembang,2.0
1086,Politeknik Akbara,
1087,Politeknik Al-Islam Bandung,
1088,Politeknik Amamapare,14.0
1089,Politeknik Angkatan Darat,
1090,Politeknik Angkatan Laut,
1091,Politeknik Anika,2.0
1092,Politeknik Anika Palembang,2.0
1093,Politeknik Api Yogyakarta,5.0
1094,Politeknik App Jakarta,
1095,Politeknik Astra,3.0
1096,Politeknik Ati Makassar,
1097,Politeknik Ati Padang,
1098,Politeknik Atk Yogyakarta,
1099,Politeknik Atmi,6.0
1100,Politeknik Atmi Surakarta,6.0
1101,Politeknik Baja Tegal,6.0
1102,Politeknik Balekambang Jepara,6.0
1103,Politeknik Banjarnegara,6.0
1104,Politeknik Batulicin,11.0
1105,Politeknik Baubau,9.0
1106,Politeknik Bhakti Asih Purwakarta,4.0
1107,Politeknik Bina Budaya Cipta,4.0
1108,Politeknik Bina Husada Kendari,9.0
1109,Politeknik Bina Trada Semarang,6.0
1110,Politeknik Bintan Cakrawala,10.0
1111,Politeknik Bisnis Dan Pasar Modal,3.0
1112,Politeknik Bisnis Indonesia,1.0
1113,Politeknik Bisnis Kaltara,11.0
1114,Politeknik Bosowa,9.0
1115,Politeknik Bumi Akpelni,6.0
1116,Politeknik Cahaya Surya,7.0
1117,Politeknik Caltex,10.0
1118,Politeknik Cendana,1.0
1119,Politeknik Darma Ganesha,2.0
1120,Politeknik Darusalam,2.0
1121,Politeknik Darussalam,2.0
1122,Politeknik Dharma Patria,6.0
1123,Politeknik Elbajo Commodus,15.0
1124,Politeknik Elektronik Negeri Surabaya,
1125,Politeknik Elektronika Negeri Surabaya,
1126,Politeknik Energi Dan Mineral Akamigas,
1127,Politeknik Energi Dan Pertambangan Bandung,
1128,Politeknik Enjinering Indorama,4.0
1129,Politeknik Enjiniring Pertanian Indonesia,
1130,Politeknik Gajah Sakti,2.0
1131,Politeknik Gajah Tunggal,4.0
1132,Politeknik Ganesa Guru,8.0
1133,Politeknik Ganesha,1.0
1134,Politeknik Gihon,1.0
1135,Politeknik Gorontalo,16.0
1136,Politeknik Gunakarya Indonesia Bekasi,4.0
1137,Politeknik Halmahera,12.0
1138,Politeknik Hang Tuah Jakarta,3.0
1139,Politeknik Harapan Bangsa Surakarta,6.0
1140,Politeknik Harapan Bersama,6.0
1141,Politeknik Hasnur,11.0
1142,Politeknik Ilmu Pelayaran Balikpapan,11.0
1143,Politeknik Ilmu Pelayaran Makassar,
1144,Politeknik Ilmu Pelayaran Semarang,
1145,Politeknik Ilmu Pemasyarakatan,
1146,Politeknik Imigrasi,
1147,Politeknik Indonesia Venezuela,13.0
1148,Politeknik Indonusa Surakarta,6.0
1149,Politeknik Indotec Kendari,9.0
1150,Politeknik Industri Atmi,4.0
1151,Politeknik Industri Furnitur Dan Pengolahan Kayu,
1152,Politeknik Industri Logam Morowali,
1153,Politeknik Informatika Nasional,9.0
1154,Politeknik Internasional Bali,8.0
1155,Politeknik Islam Syekh Salman Al-Farisi Rantau,11.0
1156,Politeknik It&Amp;B Medan,1.0
1157,Politeknik Jakarta Internasional,3.0
1158,Politeknik Jambi,10.0
1159,Politeknik Kaltara,11.0
1160,Politeknik Kampar,10.0
1161,Politeknik Karya Husada,3.0
1162,Politeknik Katolik Mangunwijaya,6.0
1163,Politeknik Katolik Saint Paul,14.0
1164,Politeknik Kediri,7.0
1165,Politeknik Kelapa Sawit Citra Widya Edukasi,4.0
1166,Politeknik Kelautan Dan Perikanan Bitung,
1167,Politeknik Kelautan Dan Perikanan Bone,
1168,Politeknik Kelautan Dan Perikanan Dumai,
1169,Politeknik Kelautan Dan Perikanan Jembrana,
1170,Politeknik Kelautan Dan Perikanan Karawang,
1171,Politeknik Kelautan Dan Perikanan Kupang,
1172,Politeknik Kelautan Dan Perikanan Pangandaran,
1173,Politeknik Kelautan Dan Perikanan Sidoarjo,
1174,Politeknik Kelautan Dan Perikanan Sorong,
1175,Politeknik Kent,4.0
1176,Politeknik Kesehatan Kementerian Kesehatan Pangkal Pinang,
1177,Politeknik Kesehatan Aisyiyah Banten,
1178,Politeknik Kesehatan Bhakti Mulia,
1179,Politeknik Kesehatan Bhakti Pertiwi Husada,
1180,Politeknik Kesehatan Bhakti Setya Indonesia,
1181,Politeknik Kesehatan Jakarta Ii,
1182,Politeknik Kesehatan Kartini Bali,8.0
1183,Politeknik Kesehatan Karya Husada Yogyakarta,5.0
1184,Politeknik Kesehatan Kementerian Kesehatan Jambi,
1185,Politeknik Kesehatan Kementerian Kesehatan Aceh,
1186,Politeknik Kesehatan Kementerian Kesehatan Aceh (Kampus Langsa),
1187,Politeknik Kesehatan Kementerian Kesehatan Aceh (Kampus Meulaboh),
1188,Politeknik Kesehatan Kementerian Kesehatan Bandung,
1189,Politeknik Kesehatan Kementerian Kesehatan Banjarmasin,
1190,Politeknik Kesehatan Kementerian Kesehatan Banten,
1191,Politeknik Kesehatan Kementerian Kesehatan Bengkulu,
1192,Politeknik Kesehatan Kementerian Kesehatan Denpasar,
1193,Politeknik Kesehatan Kementerian Kesehatan Gorontalo,
1194,Politeknik Kesehatan Kementerian Kesehatan Jakarta I,
1195,Politeknik Kesehatan Kementerian Kesehatan Jakarta Ii,
1196,Politeknik Kesehatan Kementerian Kesehatan Jakarta Iii,
1197,Politeknik Kesehatan Kementerian Kesehatan Jayapura,
1198,Politeknik Kesehatan Kementerian Kesehatan Jayapura (Kampus Mimika),
1199,Politeknik Kesehatan Kementerian Kesehatan Kalimantan Timur,
1200,Politeknik Kesehatan Kementerian Kesehatan Kalimantan Timur (Kampus Balikpapan),
1201,Politeknik Kesehatan Kementerian Kesehatan Kendari,
1202,Politeknik Kesehatan Kementerian Kesehatan Kupang,
1203,Politeknik Kesehatan Kementerian Kesehatan Makassar,
1204,Politeknik Kesehatan Kementerian Kesehatan Malang,
1205,Politeknik Kesehatan Kementerian Kesehatan Malang (Kampus Kediri),
1206,Politeknik Kesehatan Kementerian Kesehatan Malang Kampus Jember,
1207,Politeknik Kesehatan Kementerian Kesehatan Maluku,
1208,Politeknik Kesehatan Kementerian Kesehatan Maluku (Kampus Saumlaki),
1209,Politeknik Kesehatan Kementerian Kesehatan Maluku (Kampus Tual),
1210,Politeknik Kesehatan Kementerian Kesehatan Mamuju,
1211,Politeknik Kesehatan Kementerian Kesehatan Manado,
1212,Politeknik Kesehatan Kementerian Kesehatan Mataram,
1213,Politeknik Kesehatan Kementerian Kesehatan Medan,
1214,Politeknik Kesehatan Kementerian Kesehatan Padang,
1215,Politeknik Kesehatan Kementerian Kesehatan Padang (Kampus Bukittinggi),
1216,Politeknik Kesehatan Kementerian Kesehatan Palangkaraya,
1217,Politeknik Kesehatan Kementerian Kesehatan Palembang,
1218,Politeknik Kesehatan Kementerian Kesehatan Palu,
1219,Politeknik Kesehatan Kementerian Kesehatan Pontianak,
1220,Politeknik Kesehatan Kementerian Kesehatan Riau,
1221,Politeknik Kesehatan Kementerian Kesehatan Semarang,
1222,Politeknik Kesehatan Kementerian Kesehatan Semarang (Kampus Magelang),
1223,Politeknik Kesehatan Kementerian Kesehatan Semarang (Kampus Pekalongan),
1224,Politeknik Kesehatan Kementerian Kesehatan Semarang (Kampus Purwokerto),
1225,Politeknik Kesehatan Kementerian Kesehatan Sorong,
1226,Politeknik Kesehatan Kementerian Kesehatan Sorong (Kampus Manokwari),
1227,Politeknik Kesehatan Kementerian Kesehatan Surabaya,
1228,Politeknik Kesehatan Kementerian Kesehatan Surakarta,
1229,Politeknik Kesehatan Kementerian Kesehatan Tanjung Karang,
1230,Politeknik Kesehatan Kementerian Kesehatan Tanjung Pinang,
1231,Politeknik Kesehatan Kementerian Kesehatan Tasikmalaya,
1232,Politeknik Kesehatan Kementerian Kesehatan Tasikmalaya (Kampus Cirebon),
1233,Politeknik Kesehatan Kementerian Kesehatan Ternate,
1234,Politeknik Kesehatan Kementerian Kesehatan Yogyakarta,
1235,Politeknik Kesehatan Kerta Cendekia,
1236,Politeknik Kesehatan Majapahit,7.0
1237,Politeknik Kesehatan Muhammadiyah Makassar,9.0
1238,Politeknik Kesehatan Permata Indonesia Yogyakarta,5.0
1239,Politeknik Kesehatan Rs Dr Soepraoen Kesdam V,
1240,Politeknik Kesehatan Siteba,
1241,Politeknik Kesehatan Tni Au Adisutjipto,
1242,Politeknik Kesehatan Tni-Au Ciumbuleuit,
1243,Politeknik Kesehatan Ummi Khasanah,
1244,Politeknik Kesehatan Yapkesbi,
1245,Politeknik Kesehatan Yrsu Dr Rusdi,
1246,Politeknik Kesehatan Yrsu Dr. Rusdi,
1247,Politeknik Kesejahteraan Sosial Bandung,
1248,Politeknik Keselamatan Transportasi Jalan,
1249,Politeknik Ketenagakerjaan,
1250,Politeknik Keuangan Negara Stan,
1251,Politeknik Komputer Niaga Lpkia,4.0
1252,Politeknik Kota Malang,7.0
1253,Politeknik Kotabaru,11.0
1254,Politeknik Krakatau,4.0
1255,Politeknik Kridatama Bandung,4.0
1256,Politeknik Kudus,6.0
1257,Politeknik Kutaraja,13.0
1258,Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia,4.0
1259,Politeknik Lembaga Pendidikan Dan Pengembangan Profesi Indonesia Makassar,9.0
1260,Politeknik LP3I,3.0
1261,Politeknik LP3I Bandung,4.0
1262,Politeknik LP3I Jakarta,3.0
1263,Politeknik LP3I Medan,1.0
1264,Politeknik Lpp Yogyakarta,5.0
1265,Politeknik Malinau,11.0
1266,Politeknik Mandiri Bina Prestasi,1.0
1267,Politeknik Manufaktur Astra,3.0
1268,Politeknik Manufaktur Bandung,
1269,Politeknik Manufaktur Ceper,6.0
1270,Politeknik Manufaktur Negeri Bangka Belitung,
1271,Politeknik Maritim Ami Makassar,9.0
1272,Politeknik Maritim Negeri Indonesia,
1273,Politeknik Masamy Internasional,7.0
1274,Politeknik Medica Farma Husada Mataram,
1275,Politeknik Mekatronika Sanata Dharma,5.0
1276,Politeknik Meta Industri Cikarang,4.0
1277,Politeknik Mitra Global,7.0
1278,Politeknik Mitra Karya Mandiri,6.0
1279,Politeknik Muara Teweh,11.0
1280,Politeknik Muhammadiyah Magelang,6.0
1281,Politeknik Muhammadiyah Pekalongan,6.0
1282,Politeknik Muhammadiyah Tegal,6.0
1283,Politeknik Nasional,8.0
1284,Politeknik Nasional Denpasar,8.0
1285,Politeknik Negeri Ambon,
1286,Politeknik Negeri Bali,
1287,Politeknik Negeri Balikpapan,
1288,Politeknik Negeri Bandung,
1289,Politeknik Negeri Banjarmasin,
1290,Politeknik Negeri Banyuwangi,
1291,Politeknik Negeri Batam,
1292,Politeknik Negeri Bengkalis,
1293,Politeknik Negeri Cilacap,
1294,Politeknik Negeri Fakfak,
1295,Politeknik Negeri Indramayu,
1296,Politeknik Negeri Jakarta,
1297,Politeknik Negeri Jember,
1298,Politeknik Negeri Ketapang,
1299,Politeknik Negeri Kupang,
1300,Politeknik Negeri Lampung,
1301,Politeknik Negeri Lhokseumawe,
1302,Politeknik Negeri Madiun,
1303,Politeknik Negeri Madura,
1304,Politeknik Negeri Malang,
1305,Politeknik Negeri Manado,
1306,Politeknik Negeri Medan,
1307,Politeknik Negeri Media Kreatif,
1308,Politeknik Negeri Nusa Utara,
1309,Politeknik Negeri Padang,
1310,Politeknik Negeri Pontianak,
1311,Politeknik Negeri Samarinda,
1312,Politeknik Negeri Sambas,
1313,Politeknik Negeri Semarang,
1314,Politeknik Negeri Sriwijaya,
1315,Politeknik Negeri Subang,
1316,Politeknik Negeri Tanah Laut,
1317,Politeknik Negeri Ujung Pandang,
1318,Politeknik Nsc Surabaya,7.0
1319,Politeknik Pajajaran Insan Cinta Bangsa Bandung,4.0
1320,Politeknik Palcomtech,2.0
1321,Politeknik Palu,16.0
1322,Politeknik Pariwisata Bali,
1323,Politeknik Pariwisata Batam,10.0
1324,Politeknik Pariwisata Lombok,
1325,Politeknik Pariwisata Makassar,
1326,Politeknik Pariwisata Medan,
1327,Politeknik Pariwisata Palembang,
1328,Politeknik Pariwisata Prima Internasional,4.0
1329,Politeknik Pekerjaan Umum,
1330,Politeknik Pelayaran Banten,
1331,Politeknik Pelayaran Barombong,
1332,Politeknik Pelayaran Malahayati,
1333,Politeknik Pelayaran Sorong,
1334,Politeknik Pelayaran Sulawesi Utara,
1335,Politeknik Pelayaran Sumatera Barat,
1336,Politeknik Pelayaran Surabaya,
1337,Politeknik Pembangunan Pertanian Bogor,
1338,Politeknik Pembangunan Pertanian Gowa,
1339,Politeknik Pembangunan Pertanian Magelang,
1340,Politeknik Pembangunan Pertanian Malang,
1341,Politeknik Pembangunan Pertanian Manokwari,
1342,Politeknik Pembangunan Pertanian Medan,
1343,Politeknik Pembangunan Pertanian Yogyakarta Magelang,
1344,Politeknik Pembangunan Pertanian Yogyakarta-Magelang,
1345,Politeknik Penerbangan Jayapura,
1346,Politeknik Penerbangan Makassar,4.0
1347,Politeknik Penerbangan Medan,
1348,Politeknik Penerbangan Palembang,
1349,Politeknik Penerbangan Surabaya,
1350,Politeknik Perdamaian Halmahera,12.0
1351,Politeknik Perdana Mandiri,4.0
1352,Politeknik Perikanan Negeri Tual,
1353,Politeknik Perkapalan Negeri Surabaya,
1354,Politeknik Perkeretaapian Indonesia Madiun,
1355,Politeknik Pertanian Dan Peternakan Mapena,7.0
1356,Politeknik Pertanian Negeri Kupang,
1357,Politeknik Pertanian Negeri Pangkajene Kepulauan,
1358,Politeknik Pertanian Negeri Payakumbuh,
1359,Politeknik Pertanian Negeri Samarinda,
1360,Politeknik Pertanian Yasanto,14.0
1361,Politeknik Pgri Banten,4.0
1362,Politeknik Piksi Ganesha,4.0
1363,Politeknik Piksi Input Serang,4.0
1364,Politeknik Poliprofesi Medan,1.0
1365,Politeknik Pos Indonesia,4.0
1366,Politeknik Praktisi Bandung,4.0
1367,Politeknik Pratama,6.0
1368,Politeknik Pratama Mulia,6.0
1369,Politeknik Pratama Mulia Surakarta,6.0
1370,Politeknik Purbaya,6.0
1371,Politeknik Pusmanu,6.0
1372,Politeknik Putra Bangsa Pontianak,11.0
1373,Politeknik Raflesia,2.0
1374,Politeknik Sahid,3.0
1375,Politeknik Sains &Amp; Teknologi Wiratama Maluku Utara,12.0
1376,Politeknik Sains Dan Teknologi Wiratama Maluku Utara,12.0
1377,Politeknik Saint Paul Sorong,14.0
1378,Politeknik Sakti Surabaya,7.0
1379,Politeknik Sandi Karsa,9.0
1380,Politeknik Santo Paulus Surakarta,
1381,Politeknik Sawunggalih Aji,6.0
1382,Politeknik Sekayu,2.0
1383,Politeknik Sendawar,11.0
1384,Politeknik Seni Yogyakarta,5.0
1385,Politeknik Siber Dan Sandi Negara,
1386,Politeknik Sinar Mas Berau Coal,11.0
1387,Politeknik Soca,3.0
1388,Politeknik St. Wilhelmus,15.0
1389,Politeknik Statistika STIS,
1390,Politeknik STIA Lan Bandung,
1391,Politeknik STIA Lan Jakarta,
1392,Politeknik STIA Lan Makassar,
1393,Politeknik Stibisnis,6.0
1394,Politeknik Stmi Jakarta,
1395,Politeknik Sttt Bandung,
1396,Politeknik Sukabumi,4.0
1397,Politeknik Surabaya,7.0
1398,Politeknik Swadharma,3.0
1399,Politeknik Tanjungbalai,1.0
1400,Politeknik Tedc,4.0
1401,Politeknik Tedc Bandung,4.0
1402,Politeknik Teknologi Kimia Industri,
1403,Politeknik Tiara Bunda,4.0
1404,Politeknik Tonggak Equator,11.0
1405,Politeknik Transportasi Darat Indonesia - Sttd,
1406,Politeknik Transportasi Sungai Danau Dan Penyeberangan,
1407,Politeknik Tri Mitra Karya Mandiri,4.0
1408,Politeknik Triguna Tasikmalaya,4.0
1409,Politeknik Trisila Dharma,6.0
1410,Politeknik Tunas Pemuda,4.0
1411,Politeknik Ubaya,7.0
1412,Politeknik Unggul Lp3M,1.0
1413,Politeknik Unggulan Kalimantan,
1414,Politeknik Unisma Malang,7.0
1415,Politeknik Wilmar Bisnis Indonesia,1.0
1416,Politeknik Yakpermas Banyumas,6.0
1417,Politenik Kesehatan Yapkesbi,
1418,POLTEKKES Kemenkes Banten,
1419,POLTEKKES Kemenkes Denpasar,
1420,POLTEKKES Kemenkes Surabaya,
1421,S.T. Manajemen Bisnis Multi Sarana Manajemen Administrasi Dan Rekayasa Teknologi,1.0
1422,Sekolah Tinggi Ilmu Ekonomi Jiu,4.0
1423,Sekolah Tinggi Agama Buddha Bodhi Dharma,
1424,Sekolah Tinggi Agama Buddha Dharma Widya,
1425,Sekolah Tinggi Agama Buddha Kertarajasa,
1426,Sekolah Tinggi Agama Buddha Maha Prajna Jakarta,
1427,Sekolah Tinggi Agama Buddha Maitreyawira,
1428,Sekolah Tinggi Agama Buddha Nalanda,
1429,Sekolah Tinggi Agama Buddha Negeri Raden Wijaya,
1430,Sekolah Tinggi Agama Buddha Negeri Sriwijaya Tangerang,
1431,Sekolah Tinggi Agama Buddha Syailendra,
1432,Sekolah Tinggi Agama Hindu Dharma Nusantara Jakarta,
1433,Sekolah Tinggi Agama Hindu Dharma Sentana Sulawesi Tengah,
1434,Sekolah Tinggi Agama Hindu Lampung,
1435,Sekolah Tinggi Agama Hindu Negeri Gde Pudja Mataram,
1436,Sekolah Tinggi Agama Hindu Shantika Dharma Malang,
1437,Sekolah Tinggi Agama Islam (STAI) Al-Ma`Arif Way Kanan,
1438,Sekolah Tinggi Agama Islam (STAI) Badrus Sholeh Purwoasri Kediri,
1439,Sekolah Tinggi Agama Islam (STAI) Baturaja,
1440,Sekolah Tinggi Agama Islam (STAI) Khozinatul Ulum,
1441,Sekolah Tinggi Agama Islam (STAI) Poso,
1442,Sekolah Tinggi Agama Islam (STAI) Wakatobi,
1443,Sekolah Tinggi Agama Islam Aceh Tamiang,
1444,Sekolah Tinggi Agama Islam Al Gazali Bone,
1445,Sekolah Tinggi Agama Islam Al Hikmah Tuban,3.0
1446,Sekolah Tinggi Agama Islam Al Karimiyah,
1447,Sekolah Tinggi Agama Islam Al Mashturiyah Sukabumi,
1448,Sekolah Tinggi Agama Islam Al Masthuriyah Sukabumi,
1449,Sekolah Tinggi Agama Islam Al Muhammad Cepu,
1450,Sekolah Tinggi Agama Islam Al Musaddadiyah Garut,
1451,Sekolah Tinggi Agama Islam Al-Amin Dompu Ntb,
1452,Sekolah Tinggi Agama Islam Al-Aqidah Al-Hasyimiyah,
1453,Sekolah Tinggi Agama Islam Al-Azhar Menganti Gresik,
1454,Sekolah Tinggi Agama Islam Al-Azhary Cianjur,
1455,Sekolah Tinggi Agama Islam Al-Gazali Bulukumba,
1456,Sekolah Tinggi Agama Islam Al-Gazali Soppeng,
1457,Sekolah Tinggi Agama Islam Al-Hamidiyah Depok,
1458,Sekolah Tinggi Agama Islam Al-Hidayah Bogor,
1459,Sekolah Tinggi Agama Islam Al-Hikmah Jakarta,
1460,Sekolah Tinggi Agama Islam Al-Hikmah Medan,
1461,Sekolah Tinggi Agama Islam Ali Bin Abi Thalib,
1462,Sekolah Tinggi Agama Islam Al-Jami Banjarmasin,
1463,Sekolah Tinggi Agama Islam Al-Khairat Pemekasan,
1464,Sekolah Tinggi Agama Islam Al-Ma`Arif Way Kanan,
1465,Sekolah Tinggi Agama Islam Al-Mas`Udiyah,
1466,Sekolah Tinggi Agama Islam Al-Mawaddah Warrahmah Kolaka,
1467,Sekolah Tinggi Agama Islam Al-Muhajirin Purwakarta,
1468,Sekolah Tinggi Agama Islam Al-Mujtahadah Pekanbaru,
1469,Sekolah Tinggi Agama Islam Al-Qudwah Depok,
1470,Sekolah Tinggi Agama Islam Al-Washliyah,
1471,Sekolah Tinggi Agama Islam Ar-Rosyid,
1472,Sekolah Tinggi Agama Islam As`Adiyah Sengkang Wajo,
1473,Sekolah Tinggi Agama Islam As-Sunnah,
1474,Sekolah Tinggi Agama Islam Badrus Sholeh Kediri,
1475,Sekolah Tinggi Agama Islam Badrus Sholeh Purwoasri Kediri,
1476,Sekolah Tinggi Agama Islam Bakti Negara Tegal,
1477,Sekolah Tinggi Agama Islam Balikpapan,
1478,Sekolah Tinggi Agama Islam Baturaja,
1479,Sekolah Tinggi Agama Islam Binamadani Cikokol Tangerang,
1480,Sekolah Tinggi Agama Islam Binamadani Tangerang,
1481,Sekolah Tinggi Agama Islam Blambangan,
1482,Sekolah Tinggi Agama Islam Brebes,
1483,Sekolah Tinggi Agama Islam Bumi Silampari Lubuklinggau,
1484,Sekolah Tinggi Agama Islam Bustanul Ulum,
1485,Sekolah Tinggi Agama Islam Cendekia Insani Situbondo,
1486,Sekolah Tinggi Agama Islam Cirebon,
1487,Sekolah Tinggi Agama Islam Darud Dakwah Wal Irsyad Maros,
1488,Sekolah Tinggi Agama Islam Darul Arqam Muhammadiyah Garut,
1489,Sekolah Tinggi Agama Islam Darul Hikmah,
1490,Sekolah Tinggi Agama Islam Darul Kamal Nw Kembang Kerang,
1491,Sekolah Tinggi Agama Islam Darul Ulum Kandangan,
1492,Sekolah Tinggi Agama Islam Darul Ulum Sarolangun,
1493,Sekolah Tinggi Agama Islam Darunnajah Jakarta,
1494,Sekolah Tinggi Agama Islam Darussalam Lampung,
1495,Sekolah Tinggi Agama Islam Darussalam Nganjuk,
1496,Sekolah Tinggi Agama Islam Daruttaqwa Gresik,
1497,Sekolah Tinggi Agama Islam Daruttaqwa Manyar Gresik,
1498,Sekolah Tinggi Agama Islam Ddi Maros,
1499,Sekolah Tinggi Agama Islam Ddi Pinrang,
1500,Sekolah Tinggi Agama Islam Ddi Sidrap,
1501,Sekolah Tinggi Agama Islam Diniyah Pekanbaru,
1502,Sekolah Tinggi Agama Islam Diponegoro Tulungagung,
1503,Sekolah Tinggi Agama Islam Dr. Kh. Ez. Muttaqien Purwakarta,
1504,Sekolah Tinggi Agama Islam Grobogan,
1505,Sekolah Tinggi Agama Islam H.M. Lukman Edy Pekanbaru,
1506,Sekolah Tinggi Agama Islam Hasanuddin Pare,
1507,Sekolah Tinggi Agama Islam Hm.Lukman Edy Pekanbaru,
1508,Sekolah Tinggi Agama Islam Hubbul Wathan Duri Riau,
1509,Sekolah Tinggi Agama Islam Ibnu Rusyd,
1510,Sekolah Tinggi Agama Islam Indonesia Jakarta,
1511,Sekolah Tinggi Agama Islam Jam`Iyah Mahmudiyah Tanjung Pura Langkat,
1512,Sekolah Tinggi Agama Islam Kupang,
1513,Sekolah Tinggi Agama Islam Luqman Al-Hakim Surabaya,
1514,Sekolah Tinggi Agama Islam Ma`Arif Jambi,
1515,Sekolah Tinggi Agama Islam Ma`Arif Kendal,
1516,Sekolah Tinggi Agama Islam Ma`Arif Magetan,
1517,Sekolah Tinggi Agama Islam Ma`Arif Sarolangun,
1518,Sekolah Tinggi Agama Islam Ma`Arif Sintang,
1519,Sekolah Tinggi Agama Islam Ma`Had Aly Al-Hikam Malang,
1520,Sekolah Tinggi Agama Islam Madinatun Najah Rengat Riau,
1521,Sekolah Tinggi Agama Islam Madiun Jawa Timur,
1522,Sekolah Tinggi Agama Islam Mambaul Ulum Jambi,
1523,Sekolah Tinggi Agama Islam Masjid Syuhada,
1524,Sekolah Tinggi Agama Islam Miftahul Ula Nganjuk,
1525,Sekolah Tinggi Agama Islam Miftahul Ulum Pamekasan,
1526,Sekolah Tinggi Agama Islam Minhaajurroosyidiin,
1527,Sekolah Tinggi Agama Islam Muara Bulian,
1528,Sekolah Tinggi Agama Islam Muhammadiyah Bandung,
1529,Sekolah Tinggi Agama Islam Muhammadiyah Klaten,
1530,Sekolah Tinggi Agama Islam Muhammadiyah Paciran,
1531,Sekolah Tinggi Agama Islam Muhammadiyah Probolinggo,
1532,Sekolah Tinggi Agama Islam Muhammadiyah Tulungagung,
1533,Sekolah Tinggi Agama Islam Mulia Astuti Wonogiri Jawa Tengah,
1534,Sekolah Tinggi Agama Islam Nahdlatul Ulama Kotabumi,
1535,Sekolah Tinggi Agama Islam Nahdlatul Ulama Madiun,
1536,Sekolah Tinggi Agama Islam Nahdlatul Ulama Tasikmalaya,
1537,Sekolah Tinggi Agama Islam Natuna,
1538,Sekolah Tinggi Agama Islam Nazhatut Thullab Sampang,
1539,Sekolah Tinggi Agama Islam Nazhatut Thullab Sampang Madura,
1540,Sekolah Tinggi Agama Islam Negeri Gajah Putih Takengon,
1541,Sekolah Tinggi Agama Islam Negeri Kediri,
1542,Sekolah Tinggi Agama Islam Negeri Kudus,
1543,Sekolah Tinggi Agama Islam Negeri Majene,
1544,Sekolah Tinggi Agama Islam Negeri Malikussaleh Lhokseumawe,
1545,Sekolah Tinggi Agama Islam Negeri Mandailing Natal,
1546,Sekolah Tinggi Agama Islam Negeri Pamekasan,
1547,Sekolah Tinggi Agama Islam Negeri Pare-Pare,
1548,Sekolah Tinggi Agama Islam Negeri Sorong,
